paper_id,title,year,datasets,models,generator_families,metrics,distortions,robustness_conditions,method_keywords,entity_count,result_tuple_count
P062,Unknown,Unknown,"FakeBench, GenImage","CLIP, CNN, LLaVA, MLLM, ResNet, Swin, ViT","BigGAN, DALL-E, Flux, GAN, Midjourney, Stable Diffusion, StyleGAN, diffusion","acc, accuracy, precision","Gaussian noise, blur","degradation, robustness","CLIP-based, DIRE, attribution, frequency, generalizable, localization, reconstruction error, spectral, spectrum",166,3
P038,Unknown,Unknown,,"CNN, EfficientNet, ResNet, Swin, ViT, Vision Transformer, Xception","GAN, ProGAN, StyleGAN","AP, AUC, F1, ROC-AUC, acc, accuracy, precision, recall","perturbation, resize","robustness, social media","attribution, co-occurrence, generalizable, localization",260,30
P020,Unknown,Unknown,"ArtiFact, CIFAKE, COCO, Celeb-DF, ImageNet, LAION","CLIP, CNN, ResNet, ViT, Xception","GAN, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AUC, accuracy, precision","compression, crop, watermark",social media,"artifact, frequency, localization, spectral, spectrum",133,7
P039,Unknown,Unknown,,"CNN, Vision Transformer, Xception","GAN, StyleGAN","AUC, F1, accuracy, precision, recall",,social media,,136,15
P035,Unknown,Unknown,ArtiFact,CNN,"GAN, ProGAN, StyleGAN, diffusion",accuracy,"JPEG, blur, compression, perturbation, watermark","degradation, robustness","artifact, attribution, frequency, spectral, spectrum",146,0
C129,Unknown,Unknown,,"CNN, EfficientNet, Vision Transformer, Xception",StyleGAN,accuracy,,"cross-domain, robustness, social media",attribution,37,1
C119,Unknown,Unknown,"Celeb-DF, DiffusionDB, LAION","CLIP, CNN, DINOv2","DALL-E, GAN, Midjourney, ProGAN","AUC, EER, acc, accuracy",compression,"cross-domain, robustness, social media","DIRE, frequency, localization, reconstruction error, spectrum, zero-shot",121,21
C128,Unknown,Unknown,"ArtiFact, Celeb-DF",CNN,"DALL-E, GAN, StyleGAN, diffusion, latent diffusion","AP, accuracy, precision, recall",,social media,"artifact, frequency, zero-shot",140,5
C469,Unknown,Unknown,ArtiFact,"CNN, ResNet","BigGAN, GAN, StyleGAN","acc, accuracy, recall","JPEG, crop",robustness,"artifact, frequency, localization, spectral, spectrum, universal detector",227,10
C123,Unknown,Unknown,,"CLIP, CNN, ResNet, Xception",GAN,"accuracy, precision",watermark,"robustness, social media","co-occurrence, frequency, localization, spectral, spectrum",51,0
P099,Unknown,Unknown,"DeepFakeDetection, ImageNet","CLIP, CNN, ResNet",GAN,"accuracy, precision, recall","JPEG, compression",compressed,"attribution, co-occurrence, frequency, localization",102,13
P054,Unknown,Unknown,"ArtiFact, ForenSynths","CNN, ResNet","GAN, ProGAN, diffusion","AP, acc, accuracy","JPEG, compression, perturbation","compressed, cross-domain, robustness, social media","DIRE, artifact, frequency, generalizable, spectrum",224,12
P050,Unknown,Unknown,"ArtiFact, CIFAKE, DiffusionDB, FakeBench, GenImage, WildFake","BLIP, CLIP, CNN, EVA, InstructBLIP, LLaVA, ViT","GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, autoregressive, diffusion, latent diffusion","acc, accuracy, precision, recall",,,"DIRE, artifact, attribution, frequency, generalizable, localization, spectrum, zero-shot",267,1
C118,Unknown,Unknown,"ArtiFact, Celeb-DF, DeepFakeDetection","ViT, Vision Transformer, Xception",GAN,"AUC, acc, accuracy, precision",blur,"cross-domain, degradation, robustness","artifact, frequency, generalizable, localization, zero-shot",85,7
P004,Unknown,Unknown,ImageNet,"CLIP, CNN, ResNet, Xception","GAN, ProGAN, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, acc, accuracy, precision","Gaussian noise, JPEG, blur, compression",robustness,"DIRE, co-occurrence, frequency, generalizable, reconstruction error, spectrum, zero-shot",453,12
C441,Unknown,Unknown,"COCO, ImageNet, LAION, Synthbuster","CLIP, CNN, ResNet, ViT","BigGAN, GAN, Midjourney, ProGAN, SDXL, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, AUC, acc, accuracy, precision, recall","JPEG, WebP, blur, compression, crop, resize","compressed, robustness","CLIP-based, DIRE, attribution, frequency, generalizable, localization, spectrum, zero-shot",331,9
